datapack,rc_service,rc_source,rc_from_name,label_disagreement,finished,p90_rank,p90_n_services,p90_rc_in_traces,mean_rank,mean_n_services,mean_rc_in_traces
ts1-ts-travel-plan-service-response-abort-5s79p6,ts-travel-plan-service,ground_truth.service,ts-travel-plan-service-response,True,True,2.0,30,True,21.0,30,True
ts4-ts-order-other-service-stress-tm48k8,ts-order-other-service,ground_truth.service,ts-order-other-service,False,True,1.0,29,True,1.0,29,True
ts3-ts-travel2-service-response-abort-skwk69,ts-travel2-service,ground_truth.service,ts-travel2-service-response,True,True,21.0,29,True,6.0,29,True
ts1-ts-travel-service-response-abort-mqhzdf,ts-travel-service,ground_truth.service,ts-travel-service-response,True,True,25.0,26,True,15.0,26,True
ts4-ts-order-service-stress-k8dgfx,ts-order-service,ground_truth.service,ts-order-service,False,True,2.0,29,True,3.0,29,True
ts1-ts-consign-service-stress-2q7pns,ts-consign-service,ground_truth.service,ts-consign-service,False,True,1.0,30,True,1.0,30,True
ts5-ts-food-service-stress-48nc7m,ts-food-service,ground_truth.service,ts-food-service,False,True,14.0,30,True,1.0,30,True
ts2-ts-inside-payment-service-stress-9vnqwf,ts-inside-payment-service,ground_truth.service,ts-inside-payment-service,False,True,3.0,30,True,2.0,30,True
ts4-ts-route-plan-service-response-patch-body-vcqmmx,ts-route-plan-service,ground_truth.service,ts-route-plan-service-response-patch,True,True,13.0,30,True,10.0,30,True
ts3-ts-station-service-stress-mqpqdd,ts-station-service,ground_truth.service,ts-station-service,False,True,3.0,30,True,1.0,30,True
ts0-ts-config-service-stress-g6rpl9,ts-config-service,ground_truth.service,ts-config-service,False,True,1.0,30,True,5.0,30,True
ts2-ts-travel2-service-response-abort-z9nqrv,ts-travel2-service,ground_truth.service,ts-travel2-service-response,True,True,30.0,30,True,21.0,30,True
ts5-ts-preserve-service-pod-kill-5zcl7w,ts-preserve-service,ground_truth.service,ts-preserve-service-pod,True,True,3.0,29,True,6.0,29,True
ts0-ts-travel-plan-service-request-replace-path-dnlz4g,ts-travel-plan-service,ground_truth.service,ts-travel-plan-service-request-replace,True,True,29.0,30,True,29.0,30,True
ts2-ts-auth-service-response-patch-body-9bcpvv,ts-auth-service,ground_truth.service,ts-auth-service-response-patch,True,True,18.0,20,True,16.0,20,True
ts5-ts-preserve-service-request-replace-path-5z54d6,ts-preserve-service,ground_truth.service,ts-preserve-service-request-replace,True,True,28.0,28,True,27.0,28,True
ts3-ts-cancel-service-stress-pf77h8,ts-cancel-service,ground_truth.service,ts-cancel-service,False,True,1.0,30,True,2.0,30,True
ts2-ts-order-service-stress-4hmp6r,ts-order-service,ground_truth.service,ts-order-service,False,True,1.0,30,True,4.0,30,True
ts5-ts-station-service-pod-kill-vgnbb5,ts-station-service,ground_truth.service,ts-station-service-pod,True,True,1.0,30,True,2.0,30,True
ts4-ts-config-service-stress-wfgt8h,ts-config-service,ground_truth.service,ts-config-service,False,True,1.0,30,True,4.0,30,True
ts2-ts-route-service-stress-f8d5js,ts-route-service,ground_truth.service,ts-route-service,False,True,2.0,30,True,3.0,30,True
ts1-ts-route-plan-service-stress-pvnmb5,ts-route-plan-service,ground_truth.service,ts-route-plan-service,False,True,2.0,29,True,3.0,29,True
ts0-ts-consign-service-stress-psgrfn,ts-consign-service,ground_truth.service,ts-consign-service,False,True,1.0,30,True,1.0,30,True
ts3-ts-contacts-service-stress-bkhf9d,ts-contacts-service,ground_truth.service,ts-contacts-service,False,True,1.0,30,True,1.0,30,True
ts5-ts-contacts-service-pod-kill-srvmct,ts-contacts-service,ground_truth.service,ts-contacts-service-pod,True,True,1.0,30,True,1.0,30,True
ts4-ts-basic-service-response-abort-d2gjmt,ts-basic-service,ground_truth.service,ts-basic-service-response,True,True,16.0,30,True,17.0,30,True
ts0-ts-basic-service-response-abort-c4gjrt,ts-basic-service,ground_truth.service,ts-basic-service-response,True,True,15.0,30,True,20.0,30,True
ts3-ts-basic-service-request-replace-path-r6c626,ts-basic-service,ground_truth.service,ts-basic-service-request-replace,True,True,27.0,29,True,27.0,29,True
ts2-ts-assurance-service-stress-z7hb54,ts-assurance-service,ground_truth.service,ts-assurance-service,False,True,1.0,30,True,1.0,30,True
ts4-ts-food-service-request-replace-path-wf98f5,ts-food-service,ground_truth.service,ts-food-service-request-replace,True,True,22.0,22,True,21.0,22,True
ts2-ts-travel-plan-service-response-abort-f6dgj2,ts-travel-plan-service,ground_truth.service,ts-travel-plan-service-response,True,True,5.0,29,True,4.0,29,True
ts4-ts-basic-service-response-abort-94gfnl,ts-basic-service,ground_truth.service,ts-basic-service-response,True,True,1.0,30,True,3.0,30,True
ts1-ts-basic-service-request-replace-path-qbdgjj,ts-basic-service,ground_truth.service,ts-basic-service-request-replace,True,True,26.0,26,True,25.0,26,True
ts0-ts-consign-price-service-stress-t67vtg,ts-consign-price-service,ground_truth.service,ts-consign-price-service,False,True,24.0,30,True,2.0,30,True
ts5-ts-inside-payment-service-pod-kill-jftd5m,ts-inside-payment-service,ground_truth.service,ts-inside-payment-service-pod,True,True,1.0,30,True,1.0,30,True
ts4-ts-travel-plan-service-response-abort-nkjx54,ts-travel-plan-service,ground_truth.service,ts-travel-plan-service-response,True,True,23.0,30,True,11.0,30,True
ts0-ts-food-service-stress-skmh42,ts-food-service,ground_truth.service,ts-food-service,False,True,2.0,30,True,5.0,30,True
ts2-ts-travel-plan-service-response-abort-kxn6cx,ts-travel-plan-service,ground_truth.service,ts-travel-plan-service-response,True,True,9.0,29,True,6.0,29,True
ts2-ts-basic-service-response-abort-kqlbzw,ts-basic-service,ground_truth.service,ts-basic-service-response,True,True,26.0,26,True,25.0,26,True
ts5-ts-food-service-response-abort-28kwzb,ts-food-service,ground_truth.service,ts-food-service-response,True,True,6.0,23,True,3.0,23,True
ts1-ts-preserve-service-response-abort-fxjfws,ts-preserve-service,ground_truth.service,ts-preserve-service-response,True,True,26.0,26,True,26.0,26,True
ts4-ts-train-food-service-pod-kill-sscz4x,ts-train-food-service,ground_truth.service,ts-train-food-service-pod,True,True,1.0,30,True,1.0,30,True
ts0-ts-seat-service-response-abort-fddpcv,ts-seat-service,ground_truth.service,ts-seat-service-response,True,True,28.0,29,True,28.0,29,True
ts5-ts-travel2-service-stress-v9ch2t,ts-travel2-service,ground_truth.service,ts-travel2-service,False,True,9.0,30,True,19.0,30,True
ts3-ts-route-service-stress-5dv7nd,ts-route-service,ground_truth.service,ts-route-service,False,True,3.0,30,True,7.0,30,True
ts3-ts-seat-service-request-replace-path-749bws,ts-seat-service,ground_truth.service,ts-seat-service-request-replace,True,True,21.0,28,True,15.0,28,True
ts0-ts-price-service-stress-n787pd,ts-price-service,ground_truth.service,ts-price-service,False,True,6.0,29,True,9.0,29,True
ts4-ts-order-other-service-stress-h7rsps,ts-order-other-service,ground_truth.service,ts-order-other-service,False,True,2.0,30,True,18.0,30,True
ts3-ts-basic-service-request-replace-path-hqn26n,ts-basic-service,ground_truth.service,ts-basic-service-request-replace,True,True,5.0,28,True,11.0,28,True
ts2-ts-train-service-stress-qv9rrc,ts-train-service,ground_truth.service,ts-train-service,False,True,4.0,28,True,1.0,28,True
ts5-ts-travel-service-response-patch-body-nt8z6r,ts-travel-service,ground_truth.service,ts-travel-service-response-patch,True,True,17.0,29,True,7.0,29,True
ts4-ts-food-service-stress-h9jhg9,ts-food-service,ground_truth.service,ts-food-service,False,True,28.0,29,True,18.0,29,True
ts3-ts-basic-service-response-abort-2njhpb,ts-basic-service,ground_truth.service,ts-basic-service-response,True,True,28.0,28,True,17.0,28,True
ts2-ts-basic-service-response-abort-jl47fg,ts-basic-service,ground_truth.service,ts-basic-service-response,True,True,5.0,25,True,7.0,25,True
ts0-ts-order-service-stress-cklk2p,ts-order-service,ground_truth.service,ts-order-service,False,True,2.0,29,True,5.0,29,True
ts4-ts-consign-price-service-stress-98g97q,ts-consign-price-service,ground_truth.service,ts-consign-price-service,False,True,1.0,30,True,1.0,30,True
ts2-ts-order-service-stress-8vtw2p,ts-order-service,ground_truth.service,ts-order-service,False,True,7.0,30,True,6.0,30,True
ts5-ts-consign-service-stress-g9c5n7,ts-consign-service,ground_truth.service,ts-consign-service,False,True,1.0,29,True,1.0,29,True
ts4-ts-seat-service-stress-ckjp4p,ts-seat-service,ground_truth.service,ts-seat-service,False,True,6.0,29,True,2.0,29,True
ts2-ts-consign-service-pod-kill-476gml,ts-consign-service,ground_truth.service,ts-consign-service-pod,True,True,1.0,29,True,3.0,29,True
ts5-ts-train-food-service-mysql-rswcbh,ts-train-food-service,ground_truth.service,ts-train-food-service,False,True,21.0,30,True,21.0,30,True
ts0-ts-travel-plan-service-response-delay-pfwcqk,ts-travel-plan-service,ground_truth.service,ts-travel-plan-service-response,True,True,1.0,29,True,4.0,29,True
ts5-ts-travel2-service-response-delay-b7zvcf,ts-travel2-service,ground_truth.service,ts-travel2-service-response,True,True,3.0,30,True,1.0,30,True
ts3-ts-seat-service-request-delay-79xhc2,ts-seat-service,ground_truth.service,ts-seat-service-request,True,True,1.0,28,True,1.0,28,True
ts4-ts-basic-service-request-delay-rxfqg2,ts-basic-service,ground_truth.service,ts-basic-service-request,True,True,1.0,29,True,1.0,29,True
ts1-ts-basic-service-request-delay-9w85fg,ts-basic-service,ground_truth.service,ts-basic-service-request,True,True,1.0,28,True,1.0,28,True
ts4-ts-travel-service-response-delay-k2kgdb,ts-travel-service,ground_truth.service,ts-travel-service-response,True,True,2.0,30,True,1.0,30,True
ts3-ts-seat-service-response-delay-tt264b,ts-seat-service,ground_truth.service,ts-seat-service-response,True,True,1.0,29,True,1.0,29,True
ts4-ts-basic-service-request-delay-xhctbw,ts-basic-service,ground_truth.service,ts-basic-service-request,True,True,1.0,30,True,1.0,30,True
ts5-ts-basic-service-request-delay-4clp2q,ts-basic-service,ground_truth.service,ts-basic-service-request,True,True,1.0,30,True,1.0,30,True
ts5-ts-travel2-service-response-delay-twcfj5,ts-travel2-service,ground_truth.service,ts-travel2-service-response,True,True,1.0,29,True,1.0,29,True
ts4-ts-route-plan-service-request-delay-fpdt7w,ts-route-plan-service,ground_truth.service,ts-route-plan-service-request,True,True,1.0,29,True,1.0,29,True
ts4-ts-seat-service-response-delay-tl8vdx,ts-seat-service,ground_truth.service,ts-seat-service-response,True,True,1.0,28,True,1.0,28,True
ts5-ts-basic-service-request-delay-drlghw,ts-basic-service,ground_truth.service,ts-basic-service-request,True,True,1.0,30,True,1.0,30,True
ts2-ts-travel-service-request-delay-5hk27g,ts-travel-service,ground_truth.service,ts-travel-service-request,True,True,1.0,28,True,1.0,28,True
ts4-ts-route-plan-service-request-delay-cmtsjp,ts-route-plan-service,ground_truth.service,ts-route-plan-service-request,True,True,1.0,30,True,1.0,30,True
ts3-ts-travel2-service-response-delay-zcv72s,ts-travel2-service,ground_truth.service,ts-travel2-service-response,True,True,1.0,30,True,1.0,30,True
ts5-ts-travel-service-request-delay-f7bp9x,ts-travel-service,ground_truth.service,ts-travel-service-request,True,True,1.0,29,True,1.0,29,True
ts4-ts-travel-plan-service-response-delay-km9gq5,ts-travel-plan-service,ground_truth.service,ts-travel-plan-service-response,True,True,1.0,30,True,3.0,30,True
ts5-ts-route-plan-service-response-delay-5mjstz,ts-route-plan-service,ground_truth.service,ts-route-plan-service-response,True,True,2.0,29,True,1.0,29,True
ts4-ts-travel-service-response-delay-bwdbxp,ts-travel-service,ground_truth.service,ts-travel-service-response,True,True,2.0,28,True,1.0,28,True
ts5-ts-route-plan-service-response-delay-hs8kk7,ts-route-plan-service,ground_truth.service,ts-route-plan-service-response,True,True,2.0,30,True,1.0,30,True
ts4-ts-travel-service-response-delay-d9w5bf,ts-travel-service,ground_truth.service,ts-travel-service-response,True,True,2.0,30,True,2.0,30,True
ts3-ts-seat-service-request-delay-45lxzf,ts-seat-service,ground_truth.service,ts-seat-service-request,True,True,1.0,30,True,1.0,30,True
ts0-ts-travel-service-request-delay-z8wzcp,ts-travel-service,ground_truth.service,ts-travel-service-request,True,True,2.0,28,True,1.0,28,True
ts4-ts-basic-service-response-delay-76ksjc,ts-basic-service,ground_truth.service,ts-basic-service-response,True,True,1.0,30,True,1.0,30,True
ts3-ts-travel-service-request-delay-qhz8pd,ts-travel-service,ground_truth.service,ts-travel-service-request,True,True,2.0,28,True,2.0,28,True
ts5-ts-route-plan-service-request-delay-ghqqcv,ts-route-plan-service,ground_truth.service,ts-route-plan-service-request,True,True,1.0,30,True,1.0,30,True
ts4-ts-seat-service-request-delay-lk7gk7,ts-seat-service,ground_truth.service,ts-seat-service-request,True,True,1.0,30,True,1.0,30,True
ts3-mysql-pod-failure-58qts5,mysql,ground_truth.service,,False,True,,28,False,,28,False
ts5-ts-basic-service-request-delay-4qpvfj,ts-basic-service,ground_truth.service,ts-basic-service-request,True,True,1.0,30,True,2.0,30,True
ts4-ts-travel-plan-service-request-delay-swjjvf,ts-travel-plan-service,ground_truth.service,ts-travel-plan-service-request,True,True,1.0,28,True,1.0,28,True
ts3-ts-travel-service-response-delay-fhj9dp,ts-travel-service,ground_truth.service,ts-travel-service-response,True,True,2.0,29,True,2.0,29,True
ts4-ts-preserve-service-request-delay-v9bxvq,ts-preserve-service,ground_truth.service,ts-preserve-service-request,True,True,1.0,29,True,1.0,29,True
ts5-ts-travel2-service-response-delay-xtn266,ts-travel2-service,ground_truth.service,ts-travel2-service-response,True,True,3.0,29,True,1.0,29,True
ts2-ts-seat-service-request-delay-qckbkh,ts-seat-service,ground_truth.service,ts-seat-service-request,True,True,1.0,29,True,1.0,29,True
ts1-ts-seat-service-response-delay-28bqw8,ts-seat-service,ground_truth.service,ts-seat-service-response,True,True,1.0,26,True,1.0,26,True
ts0-ts-user-service-pod-failure-b44c7f,ts-user-service,ground_truth.service,ts-user-service-pod,True,True,,24,False,,24,False
ts5-ts-route-plan-service-response-delay-hs5lp7,ts-route-plan-service,ground_truth.service,ts-route-plan-service-response,True,True,1.0,29,True,1.0,29,True
ts4-ts-basic-service-response-delay-slw7f4,ts-basic-service,ground_truth.service,ts-basic-service-response,True,True,1.0,28,True,1.0,28,True
ts1-ts-seat-service-request-delay-kbmdlt,ts-seat-service,ground_truth.service,ts-seat-service-request,True,True,1.0,29,True,1.0,29,True
ts1-ts-station-food-service-pod-failure-td2qj4,ts-station-food-service,ground_truth.service,ts-station-food-service-pod,True,True,,24,False,,24,False
ts4-ts-travel-service-response-delay-lnpdxn,ts-travel-service,ground_truth.service,ts-travel-service-response,True,True,3.0,30,True,1.0,30,True
ts4-ts-seat-service-request-delay-xfh49m,ts-seat-service,ground_truth.service,ts-seat-service-request,True,True,1.0,30,True,1.0,30,True
ts1-ts-seat-service-response-delay-db7l87,ts-seat-service,ground_truth.service,ts-seat-service-response,True,True,1.0,28,True,1.0,28,True
ts5-ts-route-plan-service-request-delay-cn44n4,ts-route-plan-service,ground_truth.service,ts-route-plan-service-request,True,True,1.0,30,True,1.0,30,True
ts2-ts-travel-plan-service-response-delay-chhzjz,ts-travel-plan-service,ground_truth.service,ts-travel-plan-service-response,True,True,1.0,28,True,1.0,28,True
ts4-ts-basic-service-request-delay-4lsrv5,ts-basic-service,ground_truth.service,ts-basic-service-request,True,True,1.0,29,True,2.0,29,True
ts5-ts-seat-service-request-delay-vb7l9q,ts-seat-service,ground_truth.service,ts-seat-service-request,True,True,1.0,29,True,1.0,29,True
ts0-ts-preserve-service-request-abort-lpql72,ts-preserve-service,ground_truth.service,ts-preserve-service-request,True,True,25.0,26,True,14.0,26,True
ts2-ts-route-plan-service-request-abort-rnjzzl,ts-route-plan-service,ground_truth.service,ts-route-plan-service-request,True,True,29.0,29,True,29.0,29,True
ts3-ts-basic-service-request-abort-hb7rsg,ts-basic-service,ground_truth.service,ts-basic-service-request,True,True,15.0,30,True,22.0,30,True
ts5-ts-auth-service-request-abort-fkjx9w,ts-auth-service,ground_truth.service,ts-auth-service-request,True,True,13.0,13,True,6.0,13,True
ts2-ts-assurance-service-pod-failure-fvnkqg,ts-assurance-service,ground_truth.service,ts-assurance-service-pod,True,True,,23,False,,23,False
ts3-ts-travel-plan-service-request-abort-5swdfv,ts-travel-plan-service,ground_truth.service,ts-travel-plan-service-request,True,True,29.0,29,True,29.0,29,True
ts1-ts-train-service-pod-failure-5qwqdz,ts-train-service,ground_truth.service,ts-train-service-pod,True,True,16.0,19,True,17.0,19,True
ts0-ts-basic-service-request-abort-62vtm2,ts-basic-service,ground_truth.service,ts-basic-service-request,True,True,24.0,25,True,24.0,25,True
ts4-ts-route-plan-service-request-abort-nhkd5p,ts-route-plan-service,ground_truth.service,ts-route-plan-service-request,True,True,3.0,30,True,16.0,30,True
ts0-ts-travel-service-request-abort-g9mc2t,ts-travel-service,ground_truth.service,ts-travel-service-request,True,True,28.0,28,True,28.0,28,True
ts4-ts-travel2-service-request-abort-ttlcpg,ts-travel2-service,ground_truth.service,ts-travel2-service-request,True,True,30.0,30,True,26.0,30,True
ts2-ts-preserve-service-request-abort-g2z7bt,ts-preserve-service,ground_truth.service,ts-preserve-service-request,True,True,10.0,26,True,16.0,26,True
ts0-ts-travel-service-request-abort-c6glmz,ts-travel-service,ground_truth.service,ts-travel-service-request,True,True,28.0,28,True,28.0,28,True
ts5-ts-basic-service-request-abort-vrvjhn,ts-basic-service,ground_truth.service,ts-basic-service-request,True,True,1.0,26,True,7.0,26,True
ts3-ts-consign-service-pod-failure-8cb7mp,ts-consign-service,ground_truth.service,ts-consign-service-pod,True,True,,28,False,,28,False
ts0-ts-route-plan-service-request-abort-x2bhww,ts-route-plan-service,ground_truth.service,ts-route-plan-service-request,True,True,29.0,29,True,29.0,29,True
ts3-ts-basic-service-request-abort-j5qblh,ts-basic-service,ground_truth.service,ts-basic-service-request,True,True,16.0,29,True,11.0,29,True
ts2-ts-travel2-service-request-abort-g79sj7,ts-travel2-service,ground_truth.service,ts-travel2-service-request,True,True,29.0,29,True,28.0,29,True
ts0-ts-basic-service-request-abort-bgq9qs,ts-basic-service,ground_truth.service,ts-basic-service-request,True,True,29.0,30,True,24.0,30,True
ts4-ts-route-plan-service-request-abort-p674pz,ts-route-plan-service,ground_truth.service,ts-route-plan-service-request,True,True,29.0,29,True,28.0,29,True
ts5-ts-seat-service-request-abort-h6k495,ts-seat-service,ground_truth.service,ts-seat-service-request,True,True,10.0,22,True,5.0,22,True
ts3-ts-payment-service-pod-failure-fnlgp6,ts-payment-service,ground_truth.service,ts-payment-service-pod,True,True,,28,False,,28,False
ts1-ts-route-service-pod-failure-nhm7f9,ts-route-service,ground_truth.service,ts-route-service-pod,True,True,11.0,22,True,12.0,22,True
ts0-ts-route-plan-service-request-abort-7rfdzb,ts-route-plan-service,ground_truth.service,ts-route-plan-service-request,True,True,18.0,30,True,15.0,30,True
ts5-ts-basic-service-request-abort-sclg6k,ts-basic-service,ground_truth.service,ts-basic-service-request,True,True,6.0,29,True,8.0,29,True
ts1-ts-travel-plan-service-request-abort-6cqc2h,ts-travel-plan-service,ground_truth.service,ts-travel-plan-service-request,True,True,30.0,30,True,30.0,30,True
ts5-ts-travel2-service-request-abort-24j7nn,ts-travel2-service,ground_truth.service,ts-travel2-service-request,True,True,6.0,29,True,20.0,29,True
ts4-ts-basic-service-request-abort-pxcfsp,ts-basic-service,ground_truth.service,ts-basic-service-request,True,True,1.0,26,True,7.0,26,True
ts3-ts-route-plan-service-request-abort-bm4p5w,ts-route-plan-service,ground_truth.service,ts-route-plan-service-request,True,True,28.0,29,True,27.0,29,True
ts2-ts-seat-service-request-abort-bkttwc,ts-seat-service,ground_truth.service,ts-seat-service-request,True,True,27.0,28,True,27.0,28,True
ts1-ts-food-service-request-abort-5ggl5l,ts-food-service,ground_truth.service,ts-food-service-request,True,True,22.0,23,True,22.0,23,True
ts0-ts-travel-service-request-abort-6nm66v,ts-travel-service,ground_truth.service,ts-travel-service-request,True,True,23.0,23,True,23.0,23,True
ts5-ts-travel-service-request-abort-jsgpm6,ts-travel-service,ground_truth.service,ts-travel-service-request,True,True,22.0,23,True,18.0,23,True
ts1-ts-station-service-pod-failure-fn44tf,ts-station-service,ground_truth.service,ts-station-service-pod,True,True,13.0,26,True,10.0,26,True
ts0-ts-travel2-service-request-abort-nnvxn4,ts-travel2-service,ground_truth.service,ts-travel2-service-request,True,True,29.0,29,True,29.0,29,True
ts4-ts-basic-service-request-abort-jr6f2j,ts-basic-service,ground_truth.service,ts-basic-service-request,True,True,5.0,30,True,22.0,30,True
ts2-ts-preserve-service-request-abort-v6xlfd,ts-preserve-service,ground_truth.service,ts-preserve-service-request,True,True,29.0,29,True,29.0,29,True
ts1-ts-route-plan-service-request-abort-ghmj47,ts-route-plan-service,ground_truth.service,ts-route-plan-service-request,True,True,27.0,29,True,26.0,29,True
ts0-ts-seat-service-pod-failure-c87xdg,ts-seat-service,ground_truth.service,ts-seat-service-pod,True,True,21.0,22,True,19.0,22,True
